side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Pitching,2026091202,2026091202#11,7,1,BOTTOM,3-2,2,sota2486,Rosario20,R,サークルチェンジ,107.4,0.4,-0.9,18,true,0.1,0.7,true,false,true,IN_PLAY,184.2,47.9,-27.1,110.4,SINGLE
Pitching,2026091202,2026091202#12,2,1,BOTTOM,1-0,2,sota2486,pipis_57,R,高速スライダー,112.9,0.0,1.2,19,true,0.3,0.6,true,false,true,FOUL,35.9,-41.8,100.7,6.9,
Pitching,2026091202,2026091202#12,3,1,BOTTOM,1-1,2,sota2486,pipis_57,R,ライズボール,116.8,2.1,0.0,9,true,0.3,1.5,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#12,4,1,BOTTOM,1-2,2,sota2486,pipis_57,R,超高速シンカー,112.7,-1.1,-1.2,21,false,-0.7,-0.8,true,false,true,FOUL,86.1,-73.2,-76.5,7.4,STRIKE_OUT
Pitching,2026091202,2026091202#13,1,1,BOTTOM,1-2,2,sota2486,pipis_57,R,ライズボール,116.3,2.1,0.0,8,true,-0.1,1.5,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091202,2026091202#15,2,2,TOP,0-0,2,gaifukaisei,sota2486,R,カーブ,99.1,-2.7,-2.4,22,false,-0.4,0.2,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091202,2026091202#15,3,2,TOP,0-1,2,gaifukaisei,sota2486,R,ファストボール,124.2,0.8,0.0,4,false,0.5,2.0,false,false,false,BALL,,,,,
Batting,2026091202,2026091202#15,4,2,TOP,1-1,2,gaifukaisei,sota2486,R,スライダー,109.3,-0.3,-1.7,22,false,-0.3,0.0,true,false,true,FOUL,100.8,-52.2,-58.2,15.8,STRIKE_OUT
Batting,2026091202,2026091202#16,1,2,TOP,1-2,2,gaifukaisei,sota2486,R,シンカー,98.0,-1.0,2.0,20,false,1.2,0.7,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#16,2,2,BOTTOM,0-0,0,sota2486,syobonnkun,R,高速スライダー,114.0,-0.1,1.2,19,true,0.4,0.6,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#16,3,2,BOTTOM,0-1,0,sota2486,syobonnkun,R,ライズボール,117.4,2.0,0.0,19,true,0.4,0.5,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT
