game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091202,1,TOP,2026091202#4,run,Pen4,3,46,129.3,-17.7,3.6,LT0/125-150,2,3,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,1,TOP,2026091202#5,run,Pen4,-1,-1,204.8,28.3,,15-30/200+,3,3,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,1,TOP,,run,Pen4,15,15,194.1,8.3,38.4,0-15/175-200,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,1,TOP,2026091202#8,run,Pen4,31,154,164.2,11.4,58.4,0-15/150-175,2,2,false,0.99,,,,,,,,,,,,,,,false,,,,,R
2026091202,1,BOTTOM,,spot,Pen4,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091202,2,BOTTOM,,spot,Pen4,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091202,2,BOTTOM,2026091202#17,field,Pen4,56,118,169.7,14.8,96.6,0-15/150-175,,,,,SHORTSTOP,2,276.3,-103.5,272.8,-162.2,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091202,3,BOTTOM,,spot,Pen4,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091202,3,BOTTOM,2026091202#23,field,Pen4,55,118,175.6,20.2,96.8,15-30/175-200,,,,,SHORTSTOP,2,275.7,-103.5,298.3,-162.4,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091202,3,BOTTOM,2026091202#24,field,Pen4,69,186,156.2,20.8,100.2,15-30/150-175,,,,,SHORTSTOP,2,279.0,-105.3,252.4,-161.0,false,false,false,false,false,4,-1,,false,false,false,false,,R
2026091202,3,BOTTOM,2026091202#27,field,Pen4,10,25,154.5,1.1,20.0,0-15/150-175,,,,,SHORTSTOP,1,276.3,-105.0,283.0,-86.3,false,false,true,false,false,0,36,125.3,false,false,false,true,,R
2026091202,4,BOTTOM,,spot,Pen4,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091202,4,BOTTOM,2026091202#33,field,Pen4,11,89,208.3,1.6,29.1,0-15/200+,,,,,SHORTSTOP,2,277.3,-103.4,289.9,-95.3,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091202,4,BOTTOM,2026091202#35,field,Pen4,56,143,190.9,19.3,106.7,15-30/175-200,,,,,SHORTSTOP,2,279.3,-103.8,249.2,-166.8,false,true,false,false,false,4,-1,,false,false,false,false,,R
2026091202,5,TOP,2026091202#42,run,Pen4,26,155,188.3,7.7,57.8,0-15/175-200,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,5,TOP,2026091202#43,run,Pen4,2,72,87.0,-56.9,0.4,LT0/LT100,2,2,false,0.73,,,,,,,,,,,,,,,true,,,,,R
2026091202,5,BOTTOM,,spot,Pen4,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,5,BOTTOM,,field,Pen4,2,36,96.1,-58.0,2.4,LT0/LT100,,,,,PITCHER,1,286.8,-85.9,286.2,-68.8,false,false,true,false,false,2,44,125.0,false,false,false,true,,R
2026091202,5,BOTTOM,2026091202#48,field,Pen4,11,22,161.5,2.9,22.8,0-15/150-175,,,,,PITCHER,,287.1,-85.0,290.5,-88.8,false,false,false,false,false,1,-1,,false,false,false,false,,R
