side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,swing_power,bat_power,init_velocity
Pitching,2026091202,2026091202#22,5,3,TOP,2-2,2,gaifukaisei,M0nJ,R,スライダー,99.0,-0.4,-1.8,22,false,-0.2,0.4,false,false,false,CALLED_STRIKE,,,,,STRIKE_OUT,L,,,108.4
Batting,2026091202,2026091202#25,1,3,BOTTOM,0-0,0,sota2486,gaifukaisei,L,高速スライダー,108.0,0.1,1.2,22,false,-0.4,0.1,false,false,false,BALL,,,,,,R,,,113.2
Batting,2026091202,2026091202#25,2,3,BOTTOM,1-0,0,sota2486,gaifukaisei,L,ライズボール,120.4,2.0,0.0,23,false,-0.2,0.3,false,false,false,BALL,,,,,,R,,,117.0
Batting,2026091202,2026091202#25,3,3,BOTTOM,2-0,0,sota2486,gaifukaisei,L,サークルチェンジ,65.0,0.3,-0.9,21,false,-1.3,0.4,true,true,false,SWINGING_STRIKE,,,,,,R,,,107.4
Batting,2026091202,2026091202#25,4,3,BOTTOM,2-1,0,sota2486,gaifukaisei,L,ライズボール,119.4,2.0,0.0,3,false,0.1,2.2,true,true,false,SWINGING_STRIKE,,,,,,R,,,116.0
Batting,2026091202,2026091202#25,5,3,BOTTOM,2-2,0,sota2486,gaifukaisei,L,超高速シンカー,107.2,-0.5,-1.1,21,false,-1.5,0.3,false,false,false,BALL,,,,,,R,,,112.3
Batting,2026091202,2026091202#25,6,3,BOTTOM,3-2,0,sota2486,gaifukaisei,L,ライズボール,121.0,2.0,0.0,18,true,0.1,0.9,true,false,true,IN_PLAY,215.8,15.2,27.1,100.2,DOUBLE,R,,,117.6
Pitching,2026091202,2026091202#29,1,4,TOP,0-0,0,gaifukaisei,TYPE_NOOB,R,ファストボール,123.2,0.9,0.0,19,true,0.3,0.8,true,false,true,IN_PLAY,148.1,45.0,26.1,84.2,FLY_OUT,L,,,124.5
Pitching,2026091202,2026091202#30,1,4,TOP,0-0,1,gaifukaisei,sota2486,R,カーブ,77.4,-2.6,-2.3,16,false,-0.9,0.7,true,false,true,IN_PLAY,156.4,22.4,-38.4,86.0,,L,,,99.2
Pitching,2026091202,2026091202#30,2,4,TOP,0-0,1,gaifukaisei,sota2486,R,スライダー,97.8,-0.4,-1.9,23,false,-0.1,0.1,false,false,false,BALL,,,,,,L,,,108.1
